rok	tyden	natural	nafta	lpg
2009	2	22.63	24.25	13.89
2009	3	22.36	24.05	13.77
2009	4	23.94	25.48	13.54
2009	5	23.8	25.14	13.43
2009	6	24.18	25.01	13.38
2009	7	24.19	24.99	13.31
2009	8	24.9	24.99	13.3
2009	9	25.77	25.18	13.3
2009	10	25.59	25.13	13.29
2009	11	25.48	25.07	13.21
2009	12	25.63	25.01	13.37
2009	13	25.41	24.93	13.34
2009	14	25.36	24.89	13.3
2009	15	26.12	25.62	13.11
2009	17	26.02	25.51	12.91
2009	18	26.42	25.72	12.86
2009	19	26.39	25.7	12.82
2009	20	26.32	25.61	12.75
2009	21	27.27	26.15	12.71
2009	22	27.51	26.07	12.72
2009	23	27.92	25.95	12.64
2009	24	27.87	26.11	12.55
2009	25	28.75	26.94	12.47
2009	26	29.09	27.25	12.45
2009	27	29.42	27.44	12.4
2009	28	29.2	27.23	12.37
2009	29	28.85	26.95	12.32
2009	30	28.55	26.61	12.3
2009	31	28.26	26.36	12.25
2009	32	28.55	26.7	12.21
2009	33	28.58	26.52	12.19
2009	34	29.33	27.05	12.2
2009	35	29.12	26.9	12.2
2009	36	28.96	26.84	12.19
2009	37	28.81	26.75	12.2
2009	38	28.59	26.6	12.22
2009	39	28.26	26.35	12.25
2009	40	27.93	26.07	12.17
2009	41	27.67	25.86	12.08
2009	42	27.46	25.74	11.99
2009	43	27.43	26.05	11.95
2009	44	27.95	26.56	11.96
2009	45	28.47	27	11.96
2009	46	28.74	27.18	12.06
2009	47	28.68	27.14	12.47
2009	48	28.58	27.06	12.58
2009	49	28.72	27.17	12.65
2009	50	28.57	27.05	12.73
2009	51	28.47	27	12.76
2010	1	29.61	28.14	12.85
2010	2	30.35	29.02	13.17
2010	3	31.01	29.59	13.53
2010	4	30.81	29.39	13.66
2010	5	30.65	29.25	13.81
2010	6	30.51	29.06	13.99
2010	7	30.45	29.01	14.44
2010	8	30.37	28.94	14.61
2010	9	30.79	29.32	14.65
2010	10	31.04	29.55	14.67
2010	11	31.43	29.67	14.65
2010	12	31.63	29.76	14.64
2010	13	31.54	29.64	14.74
2010	15	31.87	30.04	14.71
2010	16	32.18	30.73	14.7
2010	17	32.14	30.65	14.64
2010	18	32.33	30.87	14.59
2010	19	32.6	31.28	14.6
